Fecha,IPC,re_USD,re_MXN,V_P1,V_P2
01/05/00, 0.4400 , 590.7496 ," 1,679.4430 ",,
01/06/00, 0.3400 , 541.5775 ," 1,482.5470 ",,
01/07/00, 0.3300 , 557.5980 ," 1,542.5130 ",,
01/08/00, 0.4200 , 608.0612 ," 1,655.5800 ",,
01/09/00, 0.7700 , 568.5493 ," 1,605.2470 ",,
01/10/00, 0.5200 , 559.5235 ," 1,665.1790 ",,
01/11/00, 0.6400 , 583.1218 ," 1,492.1980 ",,
01/12/00, 0.5600 , 666.8485 ," 1,628.0010 ", 0.0077 ," 7,689.5673 "
01/01/01, 0.7400 , 654.9820 ," 2,061.0180 ", 0.0040 ," 4,007.0532 "
01/02/01, 0.7500 , 637.6737 ," 2,073.5440 ",-0.0005 ,-505.0652 
01/03/01, 0.6000 , 718.0550 ," 2,247.5150 ", 0.0045 ," 4,496.8341 "
01/04/01, 0.4800 , 734.8058 ," 2,323.7670 ", 0.0035 ," 3,513.9587 "
01/05/01, 0.3600 , 798.2438 ," 2,569.3460 ", 0.0016 ," 1,604.7407 "
01/06/01, 0.3200 , 747.8370 ," 2,347.1690 ", 0.0016 ," 1,648.5216 "
01/07/01, 0.1500 , 796.5951 ," 2,423.8740 ",-0.0018 ,"-1,763.3872 "
01/08/01, 0.3300 , 789.3075 ," 2,414.3770 ", 0.0039 ," 3,920.4670 "
01/09/01, 0.7600 , 772.0803 ," 2,324.1470 ", 0.0061 ," 6,110.7693 "
01/10/01, 0.2500 , 792.8295 ," 2,440.3010 ", 0.0029 ," 2,876.9766 "
01/11/01, 0.2400 , 693.8224 ," 2,158.4310 ", 0.0024 ," 2,402.5470 "
01/12/01, 0.2400 , 759.0318 ," 2,360.7850 ", 0.0009 , 874.7977 
01/01/02, 0.5000 , 711.0430 ," 2,225.2020 ", 0.0058 ," 5,784.6515 "
01/02/02, 0.7100 , 718.8650 ," 2,262.8290 ",-0.0004 ,-379.0829 
01/03/02, 0.4100 , 744.5270 ," 2,301.4910 ", 0.0032 ," 3,182.1029 "
01/04/02, 0.3600 , 805.8720 ," 2,496.5170 ", 0.0035 ," 3,500.9979 "
01/05/02, 0.1800 , 912.2050 ," 2,765.6560 ", 0.0012 ," 1,248.6216 "
01/06/02, 0.1300 , 860.0030 ," 2,514.8310 ", 0.0030 ," 3,045.3399 "
01/07/02, 0.1300 , 843.0738 ," 2,491.2730 ", 0.0018 ," 1,808.0508 "
01/08/02, 0.3400 , 849.1376 ," 2,565.9040 ", 0.0024 ," 2,385.1987 "
01/09/02, 0.6600 , 860.5997 ," 2,505.3340 ", 0.0038 ," 3,794.3184 "
01/10/02, 0.2300 , 848.2830 ," 2,615.0130 ", 0.0028 ," 2,778.2279 "
01/11/02, 0.1900 , 741.4380 ," 2,305.5020 ", 0.0049 ," 4,886.6565 "
01/12/02, 0.2100 , 919.4010 ," 2,904.2990 ", 0.0026 ," 2,623.9805 "
01/01/03, 0.4400 ," 1,051.2547 "," 3,443.3760 ", 0.0024 ," 2,366.2222 "
01/02/03, 0.5000 , 979.7597 ," 3,168.4500 ", 0.0017 ," 1,661.0031 "
01/03/03, 0.4100 ," 1,139.1124 "," 3,717.1090 ", 0.0038 ," 3,785.6821 "
01/04/03, 0.3400 ," 1,202.5097 "," 3,801.3310 ", 0.0010 ," 1,026.1502 "
01/05/03, 0.2700 ," 1,350.9669 "," 4,470.8320 ",-0.0019 ,"-1,908.8621 "
01/06/03, 0.1100 ," 1,351.1707 "," 4,205.9580 ", 0.0005 , 485.5097 
01/07/03, 0.1400 ," 1,361.3620 "," 4,156.7950 ", 0.0008 , 832.8475 
01/08/03, 0.3600 ," 1,401.2462 "," 4,277.5430 ", 0.0018 ," 1,795.2809 "
01/09/03, 0.4800 ," 1,365.5085 "," 4,259.6730 ", 0.0036 ," 3,562.3523 "
01/10/03, 0.2100 ," 1,391.0112 "," 4,365.7160 ", 0.0022 ," 2,220.2664 "
01/11/03, 0.2600 ," 1,203.7084 "," 3,828.2540 ", 0.0050 ," 4,999.6319 "
01/12/03, 0.2900 ," 1,341.0761 "," 4,290.8990 ", 0.0024 ," 2,430.4676 "
01/01/04, 0.3800 ," 1,081.8635 "," 3,559.8830 ", 0.0035 ," 3,542.0682 "
01/02/04, 0.4500 ," 1,171.7737 "," 3,763.9680 ", 0.0035 ," 3,508.1250 "
01/03/04, 0.3700 ," 1,480.2240 "," 4,606.8750 ", 0.0020 ," 1,965.1670 "
01/04/04, 0.3300 ," 1,513.5151 "," 4,583.3300 ", 0.0009 , 882.4856 
01/05/04, 0.2300 ," 1,770.3978 "," 5,588.3790 ",-0.0015 ,"-1,480.4620 "
01/06/04, 0.2700 ," 1,684.7248 "," 5,181.2090 ", 0.0009 , 929.3912 
01/07/04, 0.1700 ," 1,654.3760 "," 4,982.5410 ", 0.0015 ," 1,530.6879 "
01/08/04, 0.2800 ," 1,786.8078 "," 5,451.3030 ", 0.0036 ," 3,649.2466 "
01/09/04, 0.5700 ," 1,586.8407 "," 4,806.9460 ", 0.0048 ," 4,802.5570 "
01/10/04, 0.2900 ," 1,529.9477 "," 4,744.8690 ", 0.0040 ," 3,979.4503 "
01/11/04, 0.2400 ," 1,506.1644 "," 4,666.3200 ", 0.0048 ," 4,794.6168 "
01/12/04, 0.2800 ," 1,565.1123 "," 5,077.7750 ", 0.0012 ," 1,155.6900 "
01/01/05, 0.3700 ," 1,367.5563 "," 4,292.1450 ", -   , -   
01/02/05, 0.3900 ," 1,428.3770 "," 4,426.6200 ", 0.0019 ," 1,854.0386 "
01/03/05, 0.2900 ," 1,691.5896 "," 5,128.2020 ", 0.0025 ," 2,504.9840 "
01/04/05, 0.1900 ," 1,753.3032 "," 5,229.6340 ", 0.0020 ," 2,003.7043 "
01/05/05, 0.1900 ," 2,057.2773 "," 6,365.6310 ",-0.0014 ,"-1,399.9563 "
01/06/05, 0.2400 ," 1,923.2802 "," 5,702.2990 ",-0.0005 ,-549.0834 
01/07/05, 0.2100 ," 1,840.3006 "," 5,362.1540 ", 0.0021 ," 2,142.3313 "
01/08/05, 0.1400 ," 2,059.2229 "," 5,937.0030 ", 0.0007 , 654.5574 
01/09/05, 0.4800 ," 1,885.9905 "," 5,580.0030 ", 0.0022 ," 2,151.6615 "
01/10/05, 0.2400 ," 1,862.2776 "," 5,512.9770 ", 0.0013 ," 1,334.6619 "
01/11/05, 0.2100 ," 1,886.9538 "," 5,542.2040 ", 0.0038 ," 3,786.9185 "
01/12/05, 0.2800 ," 1,932.1420 "," 5,842.8280 ", 0.0030 ," 3,027.1682 "
01/01/06, 0.2200 ," 1,758.3057 "," 5,293.9700 ", 0.0030 ," 2,982.8193 "
01/02/06, 0.3300 ," 1,823.1898 "," 5,364.6480 ", 0.0007 , 749.6245 
01/03/06, 0.4000 ," 2,152.8362 "," 6,155.6740 ", 0.0006 , 627.2034 
01/04/06, 0.3400 ," 2,072.7017 "," 5,935.5580 ", 0.0007 , 714.4425 
01/05/06, 0.1400 ," 2,534.5990 "," 7,286.6100 ",-0.0022 ,"-2,154.0397 "
01/06/06, 0.3000 ," 2,340.2623 "," 6,629.6650 ", 0.0004 , 425.2540 
01/07/06, 0.2600 ," 2,191.6469 "," 6,312.8670 ", 0.0013 ," 1,306.5293 "
01/08/06, 0.1700 ," 2,334.2835 "," 6,624.7160 ", 0.0025 ," 2,486.8210 "
01/09/06, 0.5500 ," 2,140.9586 "," 6,186.9510 ", 0.0049 ," 4,908.0768 "
01/10/06, 0.2300 ," 2,316.5244 "," 6,757.4390 ", 0.0021 ," 2,139.7569 "
01/11/06, 0.2600 ," 1,962.8020 "," 5,726.0630 ", 0.0025 ," 2,505.4810 "
01/12/06, 0.4000 ," 1,938.7249 "," 5,910.4470 ", 0.0026 ," 2,642.8754 "
01/01/07, 0.4600 ," 1,872.9292 "," 5,573.1220 ", 0.0024 ," 2,420.6900 "
01/02/07, 0.3800 ," 1,856.7782 "," 5,450.3520 ", 0.0013 ," 1,293.2736 "
01/03/07, 0.2900 ," 2,186.5239 "," 6,244.9760 ", 0.0010 ," 1,007.9234 "
01/04/07, 0.1900 ," 2,166.5640 "," 6,232.2510 ",-0.0003 ,-280.4900 
01/05/07, 0.2000 ," 2,411.7694 "," 7,160.9810 ",-0.0023 ,"-2,266.2457 "
01/06/07, 0.2900 ," 2,300.5755 "," 6,597.3200 ", 0.0005 , 545.7048 
01/07/07, 0.3000 ," 2,369.4892 "," 6,695.0490 ", 0.0019 ," 1,929.4911 "
01/08/07, 0.2700 ," 2,412.1251 "," 6,690.3260 ", 0.0018 ," 1,840.0606 "
01/09/07, 0.4800 ," 2,186.1334 "," 6,214.2620 ", 0.0035 ," 3,490.8419 "
01/10/07, 0.3300 ," 2,367.6428 "," 6,943.9800 ", 0.0017 ," 1,734.6767 "
01/11/07, 0.2300 ," 1,958.5217 "," 5,745.1200 ", 0.0031 ," 3,101.0900 "
01/12/07, 0.3800 ," 1,969.7657 "," 6,103.7300 ", 0.0017 ," 1,723.6477 "
01/01/08, 0.4300 ," 1,781.6996 "," 5,286.9710 ", 0.0019 ," 1,930.0050 "
01/02/08, 0.4300 ," 1,859.7116 "," 5,454.3770 ", 0.0013 ," 1,260.8397 "
01/03/08, 0.4900 ," 2,116.3465 "," 6,116.2570 ", 0.0030 ," 3,036.7819 "
01/04/08, 0.3900 ," 2,184.6854 "," 6,166.3150 ", 0.0010 , 969.7763 
01/05/08, 0.4800 ," 2,371.6245 "," 7,089.6650 ",-0.0005 ,-454.0602 
01/06/08, 0.4700 ," 2,264.5868 "," 6,468.5600 ", 0.0017 ," 1,690.4709 "
01/07/08, 0.4000 ," 2,183.1569 "," 6,173.8570 ", 0.0023 ," 2,306.5029 "
01/08/08, 0.4100 ," 2,097.5650 "," 6,107.1460 ", 0.0024 ," 2,415.1100 "
01/09/08, 0.5800 ," 2,113.8022 "," 6,146.6480 ", 0.0028 ," 2,810.7119 "
01/10/08, 0.2900 ," 2,637.7129 "," 6,677.6650 ", 0.0027 ," 2,676.1800 "
01/11/08, 0.4600 ," 1,752.1841 "," 5,259.6350 ", 0.0044 ," 4,449.0352 "
01/12/08, 0.5700 ," 1,781.9097 "," 5,680.5810 ", 0.0026 ," 2,579.3914 "
01/01/09, 0.4400 ," 1,572.9751 "," 4,801.1340 ", 0.0008 , 813.5526 
01/02/09, 0.4700 ," 1,810.7913 "," 5,196.5410 ", 0.0008 , 777.4480 
01/03/09, 0.5200 ," 2,115.1062 "," 6,046.2300 ", 0.0021 ," 2,056.2656 "
01/04/09, 0.4200 ," 1,794.7984 "," 5,537.1790 ", 0.0012 ," 1,223.6807 "
01/05/09, 0.2000 ," 1,905.4983 "," 6,288.8610 ",-0.0010 ,"-1,024.3112 "
01/06/09, 0.2500 ," 1,934.0212 "," 6,021.4330 ", 0.0006 , 629.1752 
01/07/09, 0.3100 ," 1,850.2274 "," 5,726.8320 ", 0.0010 , 969.8993 
01/08/09, 0.1500 ," 1,799.4038 "," 5,784.9690 ", 0.0009 , 883.6465 
01/09/09, 0.4000 ," 1,747.2127 "," 5,569.5230 ", 0.0018 ," 1,832.1773 "
01/10/09, 0.3200 ," 1,695.9575 "," 5,661.1490 ", 0.0011 ," 1,101.9545 "
01/11/09, 0.1400 ," 1,510.8202 "," 5,071.6480 ", 0.0019 ," 1,903.2899 "
01/12/09, 0.4700 ," 1,569.5206 "," 5,404.1020 ", 0.0014 ," 1,446.7774 "
01/01/10, 0.7500 ," 1,323.8241 "," 4,484.8750 ", 0.0039 ," 3,933.4490 "
01/02/10, 0.4100 ," 1,553.4585 "," 4,895.0520 ", 0.0021 ," 2,086.5092 "
01/03/10, 0.3500 ," 1,954.8462 "," 6,023.2770 ", 0.0026 ," 2,593.3568 "
01/04/10, 0.1100 ," 1,794.7704 "," 5,525.5290 ",-0.0012 ,"-1,185.4269 "
01/05/10, 0.2300 ," 2,146.2064 "," 6,753.2290 ",-0.0023 ,"-2,291.6989 "
01/06/10, 0.1400 ," 1,894.8869 "," 5,896.0490 ",-0.0001 ,-108.0941 
01/07/10, 0.2100 ," 1,874.4402 "," 5,727.3970 ", 0.0008 , 796.5032 
01/08/10, 0.1000 ," 1,957.7357 "," 6,013.1920 ", 0.0010 , 994.5868 
